k,final_x,final_y,concentration,market_state,directional_state
0.0,0.500000000000002,0.500000000000002,3.9968028886505635e-15,双平台共存,双平台共存
0.025,0.5000000000000022,0.5000000000000022,4.440892098500626e-15,双平台共存,双平台共存
0.05,0.5000000000000024,0.5000000000000024,4.884981308350689e-15,双平台共存,双平台共存
0.07500000000000001,0.5000000000000027,0.5000000000000027,5.329070518200751e-15,双平台共存,双平台共存
0.1,0.5000000000000636,0.5000000000000636,1.2723155862204294e-13,双平台共存,双平台共存
0.125,0.5000000000014367,0.5000000000014367,2.87347923233483e-12,双平台共存,双平台共存
0.15000000000000002,0.5000000000322739,0.5000000000322739,6.454770051789183e-11,双平台共存,双平台共存
0.17500000000000002,0.5000000007199399,0.5000000007199399,1.4398797709702649e-09,双平台共存,双平台共存
0.2,0.5000000159438525,0.5000000159438525,3.188770492101867e-08,双平台共存,双平台共存
0.225,0.5000003504480058,0.5000003504480058,7.008960116738905e-07,双平台共存,双平台共存
0.25,0.5000076399919541,0.5000076399919541,1.5279983908156325e-05,双平台共存,双平台共存
0.275,0.5001648381643545,0.5001648381643545,0.00032967632870906094,双平台共存,双平台共存
0.30000000000000004,0.5034784013595346,0.5034784013595346,0.006956802719069177,双平台共存,双平台共存
0.325,0.5584342357182264,0.5584342357182264,0.11686847143645274,双平台共存,双平台共存
0.35000000000000003,0.6839936189615254,0.6839936189615254,0.3679872379230509,市场倾斜,市场倾斜
0.375,0.7447079541175204,0.7447079541175204,0.4894159082350409,市场倾斜,市场倾斜
0.4,0.786228248178654,0.786228248178654,0.572456496357308,市场倾斜,市场倾斜
0.42500000000000004,0.8178463887757715,0.8178463887757715,0.6356927775515431,市场倾斜,平台A锁定
0.45,0.842992034371232,0.842992034371232,0.6859840687424641,市场倾斜,平台A锁定
0.47500000000000003,0.8635273379741802,0.8635273379741802,0.7270546759483605,市场倾斜,平台A锁定
0.5,0.8806060332310673,0.8806060332310673,0.7612120664621347,市场倾斜,平台A锁定
0.525,0.8950022299415061,0.8950022299415061,0.7900044598830123,市场倾斜,平台A锁定
0.55,0.9072642656062482,0.9072642656062482,0.8145285312124964,市场锁定,平台A锁定
0.5750000000000001,0.9177960961270069,0.9177960961270069,0.8355921922540137,市场锁定,平台A锁定
0.6000000000000001,0.9269042775817757,0.9269042775817757,0.8538085551635515,市场锁定,平台A锁定
0.625,0.9348269185793177,0.9348269185793177,0.8696538371586353,市场锁定,平台A锁定
0.65,0.9417524515395659,0.9417524515395659,0.8835049030791318,市场锁定,平台A锁定
0.675,0.9478323061131901,0.9478323061131901,0.8956646122263803,市场锁定,平台A锁定
0.7000000000000001,0.9531897526406807,0.9531897526406807,0.9063795052813615,市场锁定,平台A锁定
0.7250000000000001,0.9579262441803322,0.9579262441803322,0.9158524883606645,市场锁定,平台A锁定
0.75,0.9621260705199834,0.9621260705199834,0.9242521410399669,市场锁定,平台A锁定
0.775,0.9658598410980841,0.9658598410980841,0.9317196821961682,市场锁定,平台A锁定
0.8,0.969187135949056,0.969187135949056,0.9383742718981121,市场锁定,平台A锁定
0.8250000000000001,0.9721585533224562,0.9721585533224562,0.9443171066449123,市场锁定,平台A锁定
