alpha,beta,final_x,final_y,combined_share,concentration,market_state,directional_state
0.0,0.0,0.500000000000002,0.500000000000002,0.500000000000002,3.9968028886505635e-15,双平台共存,双平台共存
0.05,0.0,0.5000000000000022,0.500000000000002,0.5000000000000021,4.218847493575595e-15,双平台共存,双平台共存
0.1,0.0,0.5000000000000027,0.500000000000002,0.5000000000000023,4.6629367034256575e-15,双平台共存,双平台共存
0.15000000000000002,0.0,0.5000000000000029,0.500000000000002,0.5000000000000024,4.884981308350689e-15,双平台共存,双平台共存
0.2,0.0,0.5000000000000033,0.500000000000002,0.5000000000000027,5.329070518200751e-15,双平台共存,双平台共存
0.25,0.0,0.5000000000000036,0.500000000000002,0.5000000000000028,5.551115123125783e-15,双平台共存,双平台共存
0.30000000000000004,0.0,0.5000000000000038,0.500000000000002,0.5000000000000029,5.773159728050814e-15,双平台共存,双平台共存
0.35000000000000003,0.0,0.5000000000000042,0.500000000000002,0.5000000000000031,6.217248937900877e-15,双平台共存,双平台共存
0.4,0.0,0.5000000000000044,0.500000000000002,0.5000000000000032,6.439293542825908e-15,双平台共存,双平台共存
0.45,0.0,0.5000000000000049,0.500000000000002,0.5000000000000034,6.8833827526759706e-15,双平台共存,双平台共存
0.5,0.0,0.5000000000000051,0.500000000000002,0.5000000000000036,7.105427357601002e-15,双平台共存,双平台共存
0.55,0.0,0.5000000000000053,0.500000000000002,0.5000000000000037,7.327471962526033e-15,双平台共存,双平台共存
0.6000000000000001,0.0,0.5000000000000058,0.500000000000002,0.5000000000000039,7.771561172376096e-15,双平台共存,双平台共存
0.65,0.0,0.500000000000006,0.500000000000002,0.500000000000004,7.993605777301127e-15,双平台共存,双平台共存
0.7000000000000001,0.0,0.5000000000000064,0.500000000000002,0.5000000000000042,8.43769498715119e-15,双平台共存,双平台共存
0.75,0.0,0.5000000000000067,0.500000000000002,0.5000000000000043,8.659739592076221e-15,双平台共存,双平台共存
0.8,0.0,0.5000000000000069,0.500000000000002,0.5000000000000044,8.881784197001252e-15,双平台共存,双平台共存
0.8500000000000001,0.0,0.5000000000000073,0.500000000000002,0.5000000000000047,9.325873406851315e-15,双平台共存,双平台共存
0.9,0.0,0.5000000000000075,0.500000000000002,0.5000000000000048,9.547918011776346e-15,双平台共存,双平台共存
0.9500000000000001,0.0,0.500000000000008,0.500000000000002,0.500000000000005,9.992007221626409e-15,双平台共存,双平台共存
1.0,0.0,0.5000000000000082,0.500000000000002,0.5000000000000051,1.021405182655144e-14,双平台共存,双平台共存
1.05,0.0,0.5000000000000084,0.500000000000002,0.5000000000000052,1.0436096431476471e-14,双平台共存,双平台共存
1.1,0.0,0.5000000000000089,0.500000000000002,0.5000000000000054,1.0880185641326534e-14,双平台共存,双平台共存
1.1500000000000001,0.0,0.5000000000000091,0.500000000000002,0.5000000000000056,1.1102230246251565e-14,双平台共存,双平台共存
1.2000000000000002,0.0,0.5000000000000095,0.500000000000002,0.5000000000000058,1.1546319456101628e-14,双平台共存,双平台共存
1.25,0.0,0.5000000000000098,0.500000000000002,0.5000000000000059,1.176836406102666e-14,双平台共存,双平台共存
